celebrityid,dbname
10226,"Jordan Fisher"
3102,"Kelly Osbourne"
11190,"Rochelle Humes"
4709,"Celine Dion"
4335,"Rachel Platten"
11663,"Zeze Di Camargo"
12030,Lucero
10897,"Carlos Vives"
10913,"Alice Cooper"
9238,"Alesha Dixon"
2947,"Janet Jackson"
10889,"Karol G"
1724,"Jordin Sparks"
2069,"The Eagles"
10593,"Kevin Gates"
1912,"Owl City"
1852,"Michael Buble"
11372,"Sean Kingston"
2561,"Backstreet Boys"
11239,Anne-Marie
9672,"Dolly Parton"
12720,Timati
1710,Jojo
1608,"Gavin Rossdale"
3637,Wale
12144,"Armin van Buuren"
12742,Marshmello
3574,"Tamar Braxton"
1782,"Leann Rimes"
9067,"Perrie Edwards"
11648,"R. Kelly"
3651,"Young Thug"
9624,"Dinah Jane Hansen"
639,"Jencarlos Canela"
11024,"Erika Jayne"
9269,"Alexandra Burke"
11665,Kehlani
9866,"Peter Andre"
9677,"James Blunt"
9690,"Rod Stewart"
2062,"The Chainsmokers"
1727,"Juicy J"
9262,"Leigh-Anne Pinnock"
11252,"Remy Ma"
11101,YG
11578,"Fetty Wap"
9637,"Cole Whittle"
10372,"TY Dolla $ign"
11508,"Andrea Bocelli"
10930,"Thomas Rhett"
1828,"Marilyn Manson"
2039,"Stevie Wonder"
2163,"Wyclef Jean"
9712,Bono
827,"Kevin Jonas"
9281,"Kenny Chesney"
1621,Gorillaz
10053,"Geri Halliwell"
1450,"Bruce Springsteen"
11502,"Missy Elliott"
3562,"Steven Tyler"
10029,Ashanti
11240,"Tove Lo"
2130,"Travis Barker"
10867,"Emeli Sande"
11787,"Don Benjamin"
10753,"Jesy Nelson"
10670,"Gloria Trevi"
11377,"Lola Ponce"
10115,"Paula Abdul"
9773,Desiigner
9412,"Normani Hamilton"
1593,"Fleetwood Mac"
11805,Jadakiss
10507,"Roselyn Sanchez"
12481,"Jacob Sartorius"
3189,Logic
9792,"Andrew Taggart"
10680,"Erykah Badu"
9947,"Joel Madden"
1627,"Green Day"
10238,"Sara Bareilles"
2007,"Shania Twain"
9924,"Chris Ivery"
10904,"Chiquis Rivera"
10196,"Bryan Adams"
3641,"Weird Al Yankovic"
11667,"Lil Yachty"
11155,"James Arthur"
11698,"Show Luo"
9928,"Dennis Graham"
2772,"Dierks Bentley"
10012,"Craig David"
2746,"David Foster"
2886,"Greyson Chance"
11582,"Manu Gavassi"
12405,"Olga Tanon"
11997,Stormzy
2167,"Zac Brown"
9103,"Lena Meyer-Landrut"
