celebrityid,dbname
9503,"Johnny McDaid"
1373,"Alison Krauss & Union Station"
11176,"KT Tunstall"
1788,"Lennon & Maisy Stella"
11618,"Andrew McMahon"
12827,"Noel Torres"
11892,"Lucy Spraggan"
3072,"Julian Casablancas"
1506,"Crosby Stills & Nash"
11990,"Paul Weller"
1468,"Carole King"
3634,"Vince Gill"
12508,"Emma Blackery"
10040,"Shameik Moore"
1810,"Lost Frequencies"
12794,"Angelique Kidjo"
11725,"Sammi Cheng"
11640,"Joss Favela"
11096,"DJ Otzi"
11911,"Kim Gloss"
1366,"Aaron Lewis"
12060,"Dallas Green"
704,"David Cook"
12525,"Angel Olsen"
12148,"Vanesa Martin"
11758,"Lang Lang"
12539,"Chuck D"
12841,"Julian Perretta"
1559,"Ednita Nazario"
3271,"Melissa Etheridge"
10615,Borns
10603,"Biz Markie"
11942,Elodie
12128,"Christopher Martin"
2127,"Tracy Chapman"
2612,"Brandon Flowers"
2099,"The Stone Roses"
12106,"Herbie Hancock"
2800,"Edward Sharpe Edward Sharpe and the Magnetic Zeros"
1950,"Randy Travis"
11048,"Azealia Banks"
1863,"Mindless Behavior"
3059,"Josh Kelley"
12135,"Howard Donald"
1766,Kraftwerk
12197,"Jerrod Niemann"
1884,Needtobreathe
10838,"Piero Pelu"
11410,"Billy Ocean"
324,"Chrissie Hynde"
12079,"Maite Kelly"
10676,"Gregory Porter"
12576,"Roger Daltrey"
12113,"Belinda Carlisle"
11528,"Billy Gibbons"
12579,"Shane Filan"
13827,"Carrie Hope Fletcher"
11038,"Juergen Drews"
1489,"Christine And The Queens"
1556,Echosmith
3022,"Joey Fatone"
12694,"Franco Battiato"
11649,"Ronnie Dunn"
1517,Dappy
1452,"Bullet For My Valentine"
1803,Lizzo
1666,"Jackson Browne"
1667,"Jackson Guthy"
11657,"Lita Ford"
3125,Kimbra
11352,"Peter Maffay"
1372,"Alison Krauss"
12123,"DJ Jazzy Jeff"
12441,"Joe (Singer)"
1374,"Amy Grant"
3280,"Michael Mcdonald"
12563,"Will Young"
1425,"Brandon Heath"
12196,"Craig Campbell"
12553,"Mike Love"
12239,"Adel Tawil"
1780,Lawson
11299,"Robert Trujillo"
661,"Chris Daughtry"
12151,Margaret
12155,"Colton Dixon"
12815,"J. Tillman"
1792,"Leslie Grace"
11682,B-Real
2038,"Stevie Nicks"
12356,"Sean Lennon"
11135,"Brian Wilson"
12467,"Britt Nicole"
12487,"Martin Gore"
11712,Dreezy
3236,"The Martinez Brothers"
1963,"Rico Love"
12592,"Zucchero Fornaciari"
1481,"Cheap Trick"
4242,"Merrell Twins"
11572,"Ludovico Einaudi"
3757,Aurora
12078,"Chase Bryant"
12644,"Rosario Flores"
10438,"Shay Mooney"
1693,"Jeff Beck"
11976,"Francesco Gabbani"
12615,"Nino D'Angelo"
12730,"Ace Frehley"
1682,"Jamie Cullum"
9876,"Jay McGuiness"
12409,Miyavi
11601,"Bugzy Malone"
12269,"David A. Stewart"
10332,"Daniel DiCriscio"
1715,"John Fogerty"
12673,"Ennio Morricone"
11939,Coolio
11956,"Sergio Sylvestre"
2836,"Esperanza Spalding"
12038,"Drake White"
12771,"Clay Aiken"
10299,"Grace Jones"
12337,"Erika Ender"
1790,"Leon Bridges"
1951,"Raphael Saadiq"
11967,"Dee Snider"
12105,"Smokie Norful"
2169,"ZZ Ward"
12109,SilentÃ³
11954,"Mannie Fresh"
12271,Kiiara
10695,"Lauren Daigle"
3198,"Mac Lethal"
12823,"Betty Who"
21980,"Ana Isabelle"
12499,"Billy Bragg"
1413,"Ben Haenow"
12258,"Max GazzÃ¨"
10694,"Danny Gokey"
2645,"Carly Simon"
11546,"David Gray"
12075,"Johnny Gill"
11810,"Kenny Loggins"
1515,"Damon Albarn"
2885,"Gregg Allman"
12121,"Kimberly Wyatt"
12524,"Lindsey Buckingham"
4519,"Huey Lewis"
1967,Rixton
10439,"Dan Smyers"
10926,"Jacob Hoggard"
2767,"Diana Krall"
2533,"Andre 3000 Benjamin"
3376,"Pete Tong"
12169,K.Flay
12318,"Brandon Boyd"
1864,Mkto
1516,"Dan   Shay"
10478,"Kamasi Washington"
1888,"Randy Owen"
10785,"Vas J Morgan"
1568,"Eliza Doolittle"
1443,"Bonnie Raitt"
12498,"Tim Bendzko"
12797,"Yngwie Malmsteen"
2036,"Steve Winwood"
12352,"Scott Storch"
2074,"The J. Geils Band"
2018,Skream
10842,"Robert Smith"
10192,"Alice Chater"
12479,"Frankie Valli"
2117,Tink
11166,Kano
12177,"Little Richard"
11063,"Reeve Carney"
1938,"Portugal. The Man"
1626,Gramatik
714,"Reggie Watts"
9150,"Erica Packer"
1368,"Aaron Watson"
12110,"Taylor Dayne"
12265,"Kenny Wayne Shepherd"
11861,"Zabdiel de Jesus"
10911,"Gaby Moreno"
12350,"Myles Kennedy"
11094,"Jean-Michel Jarre"
3652,"Wynonna Judd"
12734,"Kim Wilde"
12819,"Layzie Bone"
11678,"Glen Hansard"
12334,"Felix Jaehn"
12039,"Seasick Steve"
2025,"Sonny Digital"
1616,"Gladys Knight"
11941,"Fabrizio Moro"
11819,"Margo Price"
2100,"The Summer Set"
10686,"Michael Kiwanuka"
1794,"Lianne La Havas"
11639,"Rufus Wainwright"
9490,Edei
1474,"Catfish And The Bottlemen"
11645,"Jackie Evancho"
10647,"Johnny Mathis"
1550,"Dub Fx"
10791,"Meg Mathews"
3122,Kiesza
2520,"Amos Lee"
11641,"Yvonne Catterfeld"
12560,"Eric Paslay"
11090,"Charlie Simpson"
1822,"Mali Music"
10239,"Watkin Tudor Jones"
11680,"Brian McFadden"
2660,"Chester See"
12765,"Diana Vickers"
10628,"Siedah Garrett"
12749,"Wincent Weiss"
11865,"Warren Haynes"
1633,"Haley Reinhart"
276,"Lisa Marie Presley"
11783,"Neil Sedaka"
1853,"Michael Franti"
11803,"Ricki-Lee Coulter"
12236,"Terri Clark"
10651,"Aaron Bruno"
11776,"ChantÃ© Moore"
2743,"David Byrne"
1482,"Cheat Codes"
12795,"Anna Netrebko"
4431,"Smashing Pumpkins"
11020,"Josh Franceschi"
11575,"Denzel Curry"
12231,"Michelle Branch"
12129,Sampha
12708,"AJ Tracey"
11390,Psaiko.Dino
11089,"Nico Sereba"
12809,"Beres Hammond"
10602,"Carl Thomas"
2086,"The Offspring"
1590,"Fiona Apple"
11491,"Max Giesinger"
11577,"Janet Devlin"
2027,"Spandau Ballet"
12665,Maino
11940,"Giusy Ferreri"
10011,"Angus Young"
1614,"Gipsy Kings"
1601,"Frankie J"
11973,"Nicky Byrne"
10558,"Georgia Nott"
12717,"Sarah Blackwood"
1779,"Lauren Platt"
10342,"Nina Hagen"
3157,"Lee Ann Womack"
11812,"Simone Simons"
1999,Saywecanfly
11512,"Donovan Leitch"
1526,"David Nail"
2008,Sharam
11895,"BJ the Chicago Kid"
12743,"Nicolas Jaar"
12176,"Johnny Lozada"
12677,"Youssou N'Dour"
11501,"Katie Melua"
1579,"Ester Dean"
12430,"Marcus Miller"
11057,"Renee Fleming"
11424,"Jimmy Barnes"
1937,"Pop Evil"
11557,"Pete Doherty"
2137,"Uncle Kracker"
10353,Jillionaire
1874,"My Morning Jacket"
11831,"Bob Weir"
12829,"Riker Lynch"
10062,"Jeff Lynne"
11937,El-P
1442,"Bonnie Mckee"
11985,"Emilio Estefan"
12194,"Frankie Ballard"
11841,"Julian Smith"
12476,"Joe Jackson"
9911,"Liz McClarnon"
3043,"Judith Hill"
11958,"Bianca Atzei"
11178,"Al Jarreau"
12126,"Madysyn Rose"
12478,"Ian Gillan"
9820,"Jessica Sutta"
4393,Santigold
1507,Crookers
12008,"Marc Almond"
12745,"King Krule"
680,"Tyler Hilton"
892,"Henry Rollins"
11462,"Jordan Smith"
12624,"George Thorogood"
1622,Gossip
11257,"Chris de Burgh"
10988,"Captain Sensible"
12566,"Alison Moyet"
10919,"Simon Webbe"
11530,"Giovanni Allevi"
10635,"Jamie T"
12072,"Chubby Checker"
1449,"Brooke Candy"
12174,"Howard Jones"
12706,"Jamie xx"
12328,GoldLink
11119,"Judy Collins"
1475,"Celtic Thunder"
1927,"Pedro Capo'"
12233,"Christina Sturmer"
1565,Emisunshine
4459,Thatpoppy
11414,"Pat Boone"
12351,"Mark Tremonti"
11908,"DJ BoBo"
12461,"Alfie Boe"
3359,"Pat Benatar"
1631,"Guy Gerber"
10560,"Julia Lindholm"
12181,"Steve Hackett"
11349,"Udo Lindenberg"
11167,"Samy Deluxe"
1472,"Casey Veggies"
12756,Amine
11490,"Gianluca Grignani"
9730,"Samantha Fox"
2506,"Alison Mosshart"
1422,"Billy Corgan"
10989,"Dave Vanian"
1381,"Angel Haze"
1678,"Jamie Lawson"
9846,"Sergio Pizzorno"
3292,"Miike Snow"
11035,"Mickie Krause"
2154,Wavves
12683,"David Crosby"
12107,"Betty Wright"
2687,"Chris Isaak"
2583,"Big Smo"
11256,"Brian Justin Crum"
11747,"Roland Kaiser"
1734,"Kacy Hill"
1532,"Declan Mckenna"
2033,"Stephen Stills"
10205,"Francis Rossi"
9892,"Jim Creeggan"
10468,"Lorraine McIntosh"
2661,"Cat Power"
1560,"El Debarge"
1391,"Ashley Monroe"
12218,"Goran Bregovic"
10570,"Shakey Graves"
10812,"Taylor Henderson"
10970,"Shooter Jennings"
11716,"Willi Herren"
12638,"Ani DiFranco"
9796,"Melody Thornton"
1538,Digitalism
2171,"Zero 7"
1640,"Heather Headley"
11784,"Eddie Money"
11662,"Saul Hernandez"
9010,"Gov'T Mule"
12786,"Jerry Lee Lewis"
1649,"Hot Creations"
11258,"Andrew Bird"
12267,"Kap G"
12574,Bebe
12705,"Marc Terenzi"
12806,"Pharoahe Monch"
11383,"Tom Chaplin"
11702,"Trey Anastasio"
1839,"Mat Kearney"
2152,Wallpaper
1842,"Matt Nathanson"
3318,"Naomi Judd"
1786,"Lee Foss"
12610,"Tony Hadley"
12697,"Ana Torroja"
10879,"Robin Trower"
1750,"Kevin Fowler"
11813,"Geezer Butler"
10350,"Izzy Bizu"
12153,Vicentico
12208,"La'Porsha Renae"
11531,"Nick Lowe"
11527,"Flavor Flav"
671,"Chris Rene"
10856,"Anoushka Shankar"
11868,"Giorgio Moroder"
1528,"Dead & Company"
2101,"The Tide"
9459,"Rachel Adedeji"
10629,"Harry Belafonte"
10744,"Eva Simons"
11862,"Randy Malcom Martinez"
3850,"Clinton Sparks"
11102,"Sully Erna"
12018,"Tanya Tucker"
12778,"Gary Numan"
11855,"Graham Nash"
1457,"Canaan Smith"
12779,"Neal Schon"
12833,"Lyle Lovett"
3812,"Caro Emerald"
12116,"Laura Marling"
11030,"Ryan Lawrie"
10767,"Jools Holland"
1974,"Rodrigo Y Gabriela"
10953,"Citizen Cope"
12514,"Philip Glass"
11454,Peaches
1446,"Brandon And Leah"
10685,"Suzanne Vega"
1607,"Gavin James"
12088,"Marty Stuart"
1984,"Ryan Bingham"
9744,"Darius Campbell"
11331,"Nick Mason"
1662,Iration
12393,"Paul Rodgers"
12076,"Mick Fleetwood"
11098,"Billy Sheehan"
11621,"Lucie Bila"
4128,"Keith Ape"
10640,"Charles Bradley"
1873,Mutemath
12115,"Sophia Wollersheim"
2009,"Shaun Frank"
1876,Nao
1877,"Natalie Maines"
1769,Kungs
12005,"Marti Pellow"
1598,"Forever In Your Mind"
11325,Patrice
1643,Herobust
3414,Raury
1508,Css
12086,"Miguel Poveda"
11690,"Jakob Dylan"
10084,"k.d. lang"
12090,"Robert Earl Keen"
10190,"Jessie Andrews"
1960,"Richy Ahmed"
1906,"Ollie Marland"
12684,"Shirley Bassey"
12254,"Marian Hill"
12199,"Trent Harmon"
12500,"Les Claypool"
10724,"Mark King"
1774,"Laura Jane Grace"
10470,"Jonny Lang"
21715,"Herizen Guardiola"
1476,"Celeste Buckingham"
11459,"Agnes Obel"
12552,"Devin Townsend"
11326,"Taylor Davis"
12015,"Alessandro Mannarino"
2160,"Will Downing"
1834,Matador
12716,"Susan Tedeschi"
9915,"Rat Boy"
925,"Johnny Flynn"
1730,"Jurassic 5"
11441,"Hakan Hellstrom"
11363,"Teddy Riley"
10585,"Richard Fairbrass"
9326,"Nate Ruess"
12709,"Lucy Rose"
12101,"John Ondrasik"
11087,"Todd Rundgren"
11060,"Bill Wyman"
2146,"Viktoria Modesta"
2034,"Stereo Kicks"
11095,"Mavis Staples"
12768,"John Oates"
1726,Journey
10411,"Siobhan Fahey"
1958,"Rhiannon Giddens"
11854,"Jose Gonzalez"
12342,"Jacquie Lee"
11917,"Arlo Guthrie"
11730,"Don Felder"
11901,"Conor Oberst"
1380,"Andrea Faustini"
12219,"Karen O"
12626,"Alphonso Williams"
2107,"Theophilus London"
12832,Nahko
1415,"Ben Rector"
11853,"Glenn Hughes"
1282,"Dr. Luke"
11748,"Bernhard Brink"
1454,Cabas
12235,"Anna-Maria Zimmermann"
2072,"The Green"
10752,"Ralph Saenz"
1485,Chickenfoot
11014,Orfeh
12289,"Gloria Gaynor"
11028,"Chesney Hawkes"
10088,"Marcia Hines"
12370,"Stefan Mross"
11442,"Dave Koz"
11904,"Richard Thompson"
10400,"Grant Nicholas"
12527,"Ricky Skaggs"
12504,"Lourdes Hernandez"
1871,Msmr
12204,"Olivia Lane"
1426,"Brandy Clark"
10902,"Alan Palomo"
12052,"Valerie June"
11151,"Dionne Bromfield"
12653,Dee-1
2141,"V. Bozeman"
10852,"Larry Carlton"
12361,"Robert Cray"
12702,"Ibrahim Maalouf"
2017,Sirah
11769,Sohn
1833,"Mary Lambert"
12757,"Rickie Lee Jones"
10490,"Raphael Gualazzi"
11724,"DJ Spooky"
11242,"Stefano Bollani"
1893,"Newton Faulkner"
10617,"Dougy Mandagi"
10618,"Twin Shadow"
3811,"Carissa Alvarado"
1690,"Jay James"
10461,"Petula Clark"
12538,"The Ann Wilson Thing"
1512,Dallask
1843,"Maty Noyes"
11566,"Kate Tempest"
1513,"Damian Lazarus"
11856,"Shawn Colvin"
1455,"Caked Up"
11091,"Vincent Dery"
12586,"Ian Brown"
1458,"Capital Kings"
9060,"Patrick Carney"
1807,Locash
12186,"Luka Sulic"
1698,"Jeremy Loops"
1976,Rumer
11785,"Lee DeWyze"
12848,"Allen Stone"
1646,Hollyn
9583,"Doyle Bramhall II"
12723,"Paul Heaton"
2508,"Allie X"
10815,"Anthony Callea"
1975,RÃœFÃœS
2818,"Engelbert Humperdinck"
2149,"Vittorio Grigolo"
1716,"John Martin"
2080,"The Madden Brothers"
1892,"New Politics"
11574,"Mary Chapin Carpenter"
1813,"Lucie Silvas"
12759,"Mike Gordon"
12736,"Luisa Sobral"
2065,"The Cool Kids"
11955,"Michele Zarrillo"
1896,"Nick Fradiani"
12561,"Gene Watson"
1878,"Natalie Merchant"
2098,"The Spice Girls"
12108,"Morris Day"
12032,"Giovanni Zarrella"
9771,"Dean Geyer"
1396,"Atlas Genius"
11037,"Patricia Kaas"
13835,Bia
11752,"Paul Beaubrun"
10038,"James McCartney"
11481,"Stanley Clarke"
10855,"Shaznay Lewis"
1820,"Mac Powell"
11903,Smudo
10643,"Emily Haines"
11845,"Rodney Crowell"
1547,"Donald Fagen"
10758,"Steve Howe"
10622,"Abbas Hamad"
1567,"Elijah Blake"
12855,"Porcelain Black"
2097,"The Sounds"
11989,"Norman Langen"
12739,"Shannon Noll"
10955,"Eddie Montgomery"
10606,"Glenn Gregory"
1613,"Gin Wigmore"
2132,"Tube & Berger Turbonegro"
11875,"Eric Hutchinson"
10523,"Zia McCabe"
1845,"Meghan Linsey"
1688,Jax
10394,"Ralph Peter Steitz"
10612,"Margaux Whitney"
392,"Rebecca Rosso"
10294,"Maria Sjoholm"
11982,"Jesse Johnson"
9068,"Leon Anderson"
1049,Earthquake
10525,"Peter Holmstrom"
12650,"Brunori Sas"
1756,"Kieran Alleyne"
2067,"The Cure"
298,"Barbara Mandrell"
12377,"Rick Wakeman"
10650,"Sarah Cracknell"
11811,"Andreya Triana"
3656,"Zella Day"
12262,"Chris Botti"
2055,"Taylor Bennett"
12376,"Devon Allman"
12750,"Big Kenny"
1160,"Taryn Southern"
1582,"Everything Everything"
9658,"Kimberly Nichole"
12584,"Jim James"
11141,"Ektor Rivera"
1471,"Casey James"
1811,"Lost Kings"
9951,"Shae Brock"
11549,"Susanna Hoffs"
1725,"Josh Wilson"
12798,"Seun Kuti"
12781,"Paul Young"
1447,"Brian Fallon"
2164,"Wynter Gordon"
2089,"The Pretenders"
12802,"Jonas Kaufmann"
12329,"Anna Lunoe"
11782,"Bruce Hornsby"
10091,"Paolo Carta"
12618,"JP Cooper"
12392,"Jon Stevens"
11373,"Julia Holter"
1491,"Circa Waves"
11443,"Jonathan Butler"
2938,"Jackie Lee"
1652,"Hot Water Music"
1648,"Hook N Sling"
1401,"Axis Of Awesome"
11423,"John Farnham"
1691,"Jay Lumen"
1651,"Hot Natured"
12394,"Roger Hodgson"
12820,Destructo
12548,"Charly Black"
11022,"Elena Tonra"
12203,"CeCe Peniston"
1628,"Greg Graffin"
9656,"Jason Zhang"
1493,"Clark Beckham"
11106,"Patti Austin"
2020,"Skylar Laine"
12540,"John Anderson"
12616,"Eve Ai"
11897,"Keller Williams"
12867,"Bodo Wartke"
1677,"James Tw"
10416,"Bela B."
1377,"Anabel Englund"
12244,"Samantha Fish"
2155,Wax
1527,"De La Tierra"
2022,Smallpools
1433,"Birds Of Tokyo"
2054,"Tauren Wells"
1444,Boogie
10641,"Caroline Polachek"
11673,"Mark Vincent"
1784,"Lee Burridge"
2144,"Vintage Trouble"
2005,"Shadow Child"
1767,"Kree Harrison"
12156,"Danko Jones"
10595,"Tish Hyman"
10858,"Bob Mould"
1870,"Mr. Belt & Wezol"
4467,Uffie
1700,"Jerry Douglas"
12821,"Stefanie Heinzmann"
1562,Elephante
2703,"Clare Dunn"
12656,"McCoy Tyner"
12652,"Johnny Clegg"
1276,"Damien Fahey"
1812,Luciano
12748,"Gil Ofarim"
2006,"Serge Devant"
11749,"Nik P."
3469,"Ruthie Collins"
1500,Conrad
2974,Jayceeoh
11088,"Gregg Bissonette"
1647,Hometown
4376,"Roy Wood"
12319,"Rolando Villazon"
1919,"Parson James"
10639,"Sivert Hoyem"
12785,"Silvia PÃ©rez Cruz"
1671,"Jack Ingram"
10151,"Justin Gaston"
2079,"The M Machine"
11541,Maeckes
2077,"The Living End"
1986,"Ryn Weaver"
4248,"Michael Alvarado"
2045,Subb-An
1588,Ferras
2143,Visionquest
12707,"RY X"
9757,KStewart
3412,"Randy Newman"
12787,"JT Hodges"
1684,"Janelle Arthur"
10675,"Sam McTrusty"
12187,"Avishai Cohen"
11544,"Paul Kelly"
1635,"Hannah Grace"
1738,"Katy Tiz"
405,"Kara DioGuardi"
1948,Rac
1720,"Johnny Flynn And The Sussex Wit"
1542,"DJ Sam Spiegel"
1659,"Infinity Ink"
21869,"Seth Rudetsky"
1777,"Lauren Aquilina"
12300,"Till Lindemann"
10626,"Jesse Boykins III"
10587,"Haley Georgia"
2091,"The Rubens"
1549,"Drew Holcomb & Neighbors"
10697,Blanca
1739,"Kc And The Sunshine Band"
12678,"Jamie Lidell"
1596,Florrie
10467,"Dweezil Zappa"
12503,"Daniel Wirtz"
1745,"Kele Okereke"
1617,"Glenn Morrison"
1529,"Dead Sara"
11826,"Stella Parton"
1903,"Nile Rodgers & Chic Oberhofer"
3316,"Mr. Bill"
10475,"Aubrie Lee Sellers"
3453,"Robert Delong"
2802,"Eden Xo"
11835,"Geoff Tate"
10346,"Andy Hopkins"
10861,"Sara Watkins"
12459,"Chris Willis"
10909,"Frankie Negron"
12293,"Richard Hawley"
10648,"Georg Ringsgwandl"
10857,"Claudia Brant"
1388,Arion
1430,"Billy Raffoul"
3618,"Tunde Adebimpe"
2930,"Jack Novack"
10645,"Lloyd Cole"
10406,"Roisin O'Reilly"
1947,"Queen Extravaganza"
1397,Autograf
1570,"Ellie Holcomb"
1586,Father
2010,"Shaun Reeves"
12737,"Kandace Springs"
9893,"Kevin Hearn"
1153,"Cassie Kelley"
1604,"G Jones"
11271,"Neneh Cherry"
1719,"John Tibbs"
10130,"Claudette Robinson"
10596,"Emily Wells"
1929,"Peter Furler"
10562,"Pino Gasparini"
1530,"Deap Vally"
10653,"Rainhard Fendrich"
1634,Hana
2012,"Shawn Mcdonald"
2159,"Whitney Duncan"
1821,"Magic Man"
1787,Lemaitre
1854,"Michael Menert"
11107,"Lizz Wright"
1968,"Rob Da Bank"
1943,"Prince Fox"
1901,"Nikki Williams"
2088,"The Preatures"
2063,"The Common Linnets"
11547,"Arthur H"
1572,"Emily King"
1553,"Dustin Tebbutt"
1862,Mim0Sa
3132,"Kristy Lee Cook"
1494,"Client Liaison"
10893,"Brian Ray"
1386,Apollo
2647,"Carnie Wilson"
1728,"Julia Cole"
2081,"The Mavericks"
2156,Wet
10395,"Mary Black"
1558,"Edens Edge"
1758,Kindness
11019,"Chris Miller"
2106,"Theo Katzman"
1760,"Kings Of Chaos"
2629,"Burt Bacharach"
10037,"Colton Swon"
10571,"Keith Wallen"
1645,"Holly Williams"
834,"Luke Christopher"
1599,"Francesca Lombardo"
10925,"Coleman Hell"
1486,"Chip Tha Ripper"
1478,"Charles Hamilton"
1375,"All Day I Dream"
2073,"The Henningsens"
1609,"Gavin Turek"
1589,Fightstar
1389,Aro
10598,"Chill Moody"
1395,Astr
9803,"Kellie Acreman"
1480,"Charlotte OC"
10513,"Brent DeBoer"
1564,"Emily West"
1825,"Marc Scibilia"
1932,"Phony Ppl"
1902,"Nikki Yanosfsky"
1456,"Cale Dodds"
1435,"Blake Mills"
1989,"Samm Henshaw"
1759,King
1554,"Eagles   Butterflies"
1983,"Ryan Crosson"
10632,"Matthew Caws"
2096,"The Shires"
10957,"Stephen Barker Liles"
10876,"Brandon Saller"
1587,Fenech-Soler
1545,"Doja Cat"
1636,"Hayden James"
1600,Frankie
2030,Starshell
2078,"The London Suede"
10860,"Carl Broemel"
2105,"The Wild Feathers"
1620,"Good Old War"
1403,"Bad Rabbits"
1765,Kraddy
1398,Augustines
1535,Device
2049,"T-Bone Burnett"
9464,"DJ Bobby French"
2046,Summercamp
1681,"Jamie N Commons"
1603,Galimatias
1703,"Jessie Baylin"
2138,"Tyler Bryant & The Shakedown"
1407,"Bass Drum Of Death"
11015,"Farah Alvin"
2140,"Urban Cone"
1805,"Lonely The Brave"
1980,"Russ Yallop"
1685,"Jarryd James"
2095,"The Secret Sisters"
2076,"The Last Internationale"
1650,"Hot Dub Time Machine"
1694,Jenaux
1806,Lo-Fang
2134,"Twin Forks"
1629,"Greg Holden"
1844,"Max Frost"
1673,Jahkoy
2129,"Trash Boat"
1371,"Ali Love"
1942,Prides
1831,"Marlon Williams"
4410,"Sean Nicholas Savage"
1578,"Erin Mccarley"
1979,"Russ Liquid"
1431,Binkbeats
4272,"Moxie Raia"
1757,"Kill Frenzy"
1819,Machineheart
1978,"Runaway June"
1552,"Dukes Of September"
2114,"Tim Montana"
1424,"Bobby Long"
1868,MO5AIC
1583,Exmag
1541,"Dj Falcon"
1993,"Sam Grow"
11933,"The Shrednecks"
1503,"Court Yard Hounds"
1642,"Henry Krinkle"
2122,"Tony Joe White"
2048,Supervision
4059,"Joanna Newsom"
2044,"Striking Matches"
1602,"Franz Ferdinand & Sparks"
1872,"Muddy Magnolias"
1754,"Kiah Victoria"
2123,Tora
1367,"Aaron Parker"
1911,Osunlade
1926,"Pbr Streetgang"
1434,"Black Boots"
1751,"Kenny Glasgow Jazz"
2064,"The Bots"
1561,Elderbrook
1451,"Bruno Major"
1850,"Michael Bernard Fitzgerald"
2757,"Della Reese"
1505,"Craig Strickland"
1916,"Panama Wedding"
1987,"Saints Of Valory"
1473,"Cassio Monroe"
1795,"Life Of Dillon"
1900,"Night Terrors Of 1927"
1615,Gladkill
1625,"Gracie Schram"
1612,"George Tandy Jr."
1661,"Io Echo"
1952,Raveneye
1995,Samestate
1390,"Ashley Clark"
1405,"Bad Things"
1781,"Le Galaxie"
1996,"Sammy Arriaga"
1914,"Pablo Nouvelle"
2082,"The Men That Will Not Be Blamed for Nothing"
1569,"Ellee Duke"
1920,"Paul Basic"
2083,"The Midway State"
1997,"Sara Haze"
1713,"John & Jacob"
4374,"Ruby Amanfu"
2158,"White Sea"
1953,Raphaella
1591,"Five Knives"
1923,"Paul Westerberg"
1982,"Ryan Laird"
9011,"The O'Jays"
1736,"Katlyn Nichol"
3945,"Frankie Valli & The Four Seasons"
2028,"Spanish Gold"
1793,Levon
2070,"The Eeries"
1672,"Jacob Davis"
1883,"Native Run"
10519,"Courtney Taylor-Taylor"
2157,White
3691,"Aj Brown"
11932,"Karen Laine"
2170,"Zac Samuel"
10563,"Pepe Lienhard"
866,"Ben Roy"
2011,Shaw-Blades
1630,Grimm
1365,3For3
1823,Mamadear
1674,"James Cherry"
1575,"Emmy Palmer"
1408,"Bb Diamond"
2490,"Alex Bailey"
1740,KDA
1519,"Dillon Carmichael"
2111,"This Is She"
1327,"Nicholas Brittell"
4608,"Linda Lavin"
1571,"Elliot Root"
1985,"Ryan Lafferty"
1875,N.A.S.A.
9009,"Bee'S Knees"
1866,Monogem
1954,"Raven Cliff"
1637,Headtron
1525,"Dave Gibson"
1869,"The Move"
2135,"Twin Limb"
1414,"Ben Negative"
1885,"New Desert Blues"
1752,Keta
1939,Postaal
2031,Starling
1432,"Bird Dog"
1416,"Beni Haze"
1141,"Ashley Turner"
1504,"Cousin Marnie"
1707,"Jim Caesar"
1973,"Robin Zander Band"
4606,"Telma Hopkins"
391,"Camilla Rosso"
1799,"Linda Ronstadt"
1206,"Mina Starsiak"
1234,"Trisha Ashworth"
2115,"Timmy Curran"
1894,"Nic Cowan"
1867,"Mont Oliver"
1991,Santana
1514,"Damien Ike"
1992,"Sanni M'Mairura"
1610,"Gentlemen Hall"
9125,"Matthew Bellamy"
11404,"K. Flay"
2491,"Alejandro Sanz Alesso"
9278,"Cheryl Cole"
9348,"Camilla Cabello"
10543,"Ron Wood"
1441,"Bon Jovi"
9765,"Puff Daddy"
11568,"Christina Sturmer"
4637,"Anika Noni Ros"
3172,"Lily Allen 1"
10986,"Jess Glynne"
3525,"Sir Cliff Richard"
2653,"Cee-Lo Green"
2467,2Chainz
1744,Kele
10631,"Michael Starr"
312,"Rene'e Fleming"
1732,"Justine Skye"
1804,"Lo Down Loretta Brown"
2037,"Steven C. Chapman"
1409,"Be Blamed For Nothing"
9322,"Mia Pia"
1908,"One Direction"
9206,"Melanie Brown"
3401,"R Kelly"
2139,Tyrese
9005,"Sean Diddy Combs"
11561,"DJ Questlove"
1709,"Joan Jett & The Blackhearts"
1857,"Mick Fleetwood Blues Band"
2057,Thalia
12637,"Mary J Blige"
2483,"Alanis Morisette"
11394,T-Boz
1128,"Chiquis Marin"
2059,"The Ann Wilson Thing"
11049,"St Vincent"
3661,"Estelle Fanta Swaray"
694,"Franki Valli"
4595,"Siedah Garret"
